,_id,tweet_id,text,author,date,location,sentiment
0,2edb73b2-01cd-4e91-a6cc-7bc80369fd10,1251858372342755328,"Honda Motor Reduces Trial and Development Time Thanks to the Accuracy of Water Impact #Simulation Testing

#VirtualPrototyping #VPS #Automotive
https://t.co/yRJgxxU4DM",ESI Group,2020-04-19 13:01:09,"Paris, France",positive
1,47796f16-dd8c-4887-9ac6-9d44b210f6b0,1252363318448119812,@namjoon_trash94 Its the Hyundai project thing. But Jungkook looooookkkkssss greeeeaaaaaatttt as alwayyyyys😭😭😭💜💜💜💜,AnyaJeon⁷,2020-04-20 22:27:37,Hope World,positive
2,b28b15fc-5c3c-4130-a0d6-392e2cad3d59,1252355091174047744,Feeling a strange tilt on one side of your #VW? It's probably time to stop by our Service Center and get your Tires Rotated by our excellent technicians! #VWLove #Volkswagen Book appointment: https://t.co/UEDE7XcYMj https://t.co/jjoZwjUcJN,HewlettVW,2020-04-20 21:54:56,"Just north of Austin, Texas",positive
3,1e75bab9-7f3b-4a67-8574-6383d01883c4,1252357920316026880,I learned out of necessity on a Volkswagen Jetta when I was 21 but I very much prefer an automatic transmission. https://t.co/2rffkXJ4RE,Spencer W. McBride,2020-04-20 22:06:10,,positive
4,81ea2be8-4d23-4aa9-b91b-f894afecd14f,1252364845984346113,@nicdasilva @volkswagen So cute!! ❤️,Karen Longo,2020-04-20 22:33:41,"The Villages, FL",positive
5,bf27aebd-3d8c-4c5b-abef-c0d467315f76,1252365290551119872,"Some exiting news I wanted to share!

So I talked to my mam after watching the Bumblebee movie saying that I wanted a 1967 Volkswagen Beetle and she wanted the same car! So she is gunna help me get a 1967 Volkswagen Beetle, just like the one in the film!!

So exiting!!!! https://t.co/q4cfuhOTFO",Jar of Tesco's Gherkins,2020-04-20 22:35:27,,positive
6,7d1e24b1-3c14-4dc2-820a-0ec408cb02eb,1252296792290582529,"""The online synthesis workshop allowed us to keep a key research initiative moving.  We were able to collaborate without having to travel and the end result was clarity and confidence on the path forward."" Mark Duer, Design Research, Ford Motor Company
https://t.co/d3zgEtf00U https://t.co/76xrRAf4zH",lextant,2020-04-20 18:03:16,"Columbus, Ohio",positive
7,6d62741a-1916-4709-a337-edc60c28f311,1252296849622552576,Ford Motor Company gave their car designers a special assignment. Craft up activity sheets + coloring pages to amuse kids stuck at home during the pandemic. Check out these fun free downloads available from @Ford:  https://t.co/WRSckrw5TG #StayHome #StaySafe https://t.co/BRVXLTiEwc,A Geek Daddy,2020-04-20 18:03:30,"Detroit, Michigan USA",positive
8,ce589535-0a41-4fa6-89a7-1e08dd0c6e12,1252326179249537024,Congrats to our customers #GE Healthcare and #Ford Motor Company for their work together in increasing ventilator production and helping health care workers save lives. #covid19 #coronavirus #fighttheviruswithus https://t.co/ILZSkscxUZ,BL@,2020-04-20 20:00:02,München,positive
9,ec2f0100-3072-48d2-8313-1f18113af363,1252363774532521984,"https://t.co/YRx21bvhZE On Monday Grandad and i worked on his cars. My favorite car is a 1984 toyota group b rally car. He has a lot of cars, he collects them. Grandads favorite car is a renolt. Grandad has been ... https://t.co/UFziuRkiQU",Toki Pounamu,2020-04-20 22:29:26,"West Coast Region, New Zealand",positive
10,717219d6-d00b-406e-9f23-4b7edb635382,1252364194436939776,Ima get a job at Toyota JZ be spending racks on designer https://t.co/GdWfqLSHne,raúl,2020-04-20 22:31:06,"Denver, CO",positive
11,6a1bc58c-b6c0-4a83-b486-0bf17972c427,1252364630262820864,"y’all 2020 is like a nissan altima , mine is more like a Toyota corolla ... keeping it safe and secure .",may 10th . 🖤,2020-04-20 22:32:50,,positive
12,4299fdf7-78c9-40ab-b622-f6cf46b775ca,1252366047346167808,"@olanike_ayomide @Sonjoe_Kutuh Just imagine comparing Benz C200 Kompressor to Toyota corolla 2020 edition 

Its benz but not close at all",WaakyeTwo ShitoNkoaaa 🇬🇭🇬🇭,2020-04-20 22:38:28,"Accra, Ghana",positive
13,615dfa20-95e3-4404-a084-a339f825358e,1252367557186576390,I have an interview tomorrow for Toyota corporate in Phoenix. Should I take the job if I get it??,You,2020-04-20 22:44:28,Naptown USA,positive
14,50c77753-a878-4704-bd8d-1d76827156cf,1252368001183039491,only goal in my life is to travel around the world with my Toyota Land Cruiser and some kittens.,Sherwin Dcunha,2020-04-20 22:46:14,"Muscat, Oman",positive
15,eb826806-f9a1-49c8-bb18-8565d7a792dc,1252363338597625861,"I don't want friends, I want audi's.",👑,2020-04-20 22:27:42,elusive👄,positive
16,0bcde657-b521-4bb8-aed1-1995ad20e352,1252364515796107271,Can’t wait for these Audi’s to come in for my kids 😌😌😌,👑Prxncess👑,2020-04-20 22:32:23,,positive
17,c9a85673-a772-4dff-987e-873c8451bece,1252365478573400065,"I would like to take a route and drive and drive ... and enjoy the sea! 🌊🌞
and you? 
What would you like to do?😀
.
.
.
.
.
.
.
.
.
.
.
.
#quarantine #cuarentena #bucewillis #enjoy #covid_19 #car #sunglasses #audi https://t.co/aQ6LyAJqo6",𝐵𝑟𝑢𝑐𝑒 𝑊𝑖𝑙𝑙𝑖𝑠 𝐷𝑜𝑢𝑏𝑙𝑒,2020-04-20 22:36:12,Ciudad Autónoma de Buenos Aire,positive
18,1c4f6a96-1258-4a35-ae89-1ee6c965e25f,1252367062250303491,Still blazing......happy 420 y’all 💨 💨 https://t.co/ODcn53UwZ9,NOLO,2020-04-20 22:42:30,The Bronx Soundview ✈️ Tampa ,positive
19,8533a177-410c-4ce4-bc81-93dee755067e,1252367673272397825,"“My happiness is predicated by humility” - @garyvee 

#paeuros #audi #audisport #audipittsburgh #audisportquattro #audizine #rs4 #b7rs4 #b7 #rsgang #quattro #misano #misanored #misanors4 #audizine #widebody… https://t.co/8RxiStiDs5",Jon Stuver,2020-04-20 22:44:55,"Pittsburgh, PA",positive
20,ac97e1bc-735b-46ae-8127-df175b74d0e0,1252368385385435136,I’m so stuck between getting this Audi or Genesis☹️,Jaylene figueroa,2020-04-20 22:47:45,,positive
21,bcbc82f8-c1da-46ad-ac70-39212e3e701d,1252367909571026954,@G2esports @BMW Wunder solo killing Bwipo twice in a row during the 3rd game. Me &amp; my friends talked about this moment a lot last night.,RabDiwk.,2020-04-20 22:45:52,Right,positive
22,1290b103-2304-44b5-a409-cb0dba197cdf,1252367951417638919,"BMW of El Paso appreciates all of our customers' support. Leave us a review about your experience with us today. We look forward to your next visit! 
https://t.co/KhV5CRuwpk https://t.co/AAPTJO0dsx",BMW of El Paso,2020-04-20 22:46:02,"El Paso, TX",positive
23,dc6da2b5-d314-4c1f-8c19-214c2126ae9a,1252368042329178112,@G2esports @BMW @G2Wunder absolutely slamming Bwipo in 2 1v1s in Game 3,Bungoh,2020-04-20 22:46:23,Some house,positive
24,3c40eda6-9ae4-4c78-b671-0f5b4fd7b262,1252368056703057920,Prepped For Track Work. https://t.co/bbfzhKpeN4,News BMW,2020-04-20 22:46:27,USA,positive
25,43f36d4a-f330-42c5-80bf-338432df26a8,1252369649544527873,@G2esports @BMW When Wunder dominated Bwipo in both sides of the Ornn vs. Zac matchup ! #Denmark @G2Wunder,Viktor | Shwiftey,2020-04-20 22:52:47,denmark frederikshavn,positive
26,512a5c81-2e77-449f-bf77-4df17f9c39c0,1252945247430115328,"NPR’s Rachel Martin talks to Adrian Price, Ford’s director of manufacturing, about the company’s efforts to repurpose equipment used to make cars to now make ventilators and other medical supplies. https://t.co/z7KzOsPAH2 https://t.co/Nr5sStmztr",AMT,2020-04-22 13:00:00,"McLean, VA",positive
27,aeedf149-da58-44c2-b6de-a55953ba3d12,1252947340266278913,Hero of the day: @Ford Motor Company for converting their plants to manufacture ventilators. #heroes #heroesworkhere #Ford #fordmotorcompany #ventilators #coronavirus #covid19 https://t.co/VAucIpbrWo,Steve Hasting,2020-04-22 13:08:19,"Tulsa, Okla",positive
28,02efe4c4-9e1b-41a7-9bbd-9aacaf8ad732,1252958604648423425,Happy Earth Day from Ford Motor Company! #EarthDay2020 #EarthDay #WorldEarthDay https://t.co/aQJXmAKDp1,Ford Careers,2020-04-22 13:53:04,Global,positive
29,479ae555-f174-48c3-b80b-eed5bfc4e6bc,1252968677844168704,"Based on Red Hat® OpenShift® and supported by #RedHat and #Sysdig technology, Ford has improved developer productivity, enhanced its security and compliance approach. Read the full story https://t.co/YvTj0NwcwG",Daniel Oh,2020-04-22 14:33:06,"Boston, MA",positive
30,9915e38d-9ad0-432e-9c2d-9df6ec345902,1253002941692293121,"UAW-Ford Stands Up! In the toughest of times and in times of need, UAW members, along with the Ford Motor Company, have always been on the front lines to help out their local communities as well as the nation.
https://t.co/uskvczxhmj https://t.co/4pKwghsBtC",UAW - Ford Dept.,2020-04-22 16:49:15,"Detroit, Michigan",positive
